M,Capital Investment Index
200501,17.872340425531917
200502,-6.071428571428569
200503,-0.7911392405063395
200504,0.0
200505,5.477031802120138
200506,2.9173419773095475
200507,12.815884476534308
200508,1.0714285714285694
200509,0.5514705882353041
200510,6.451612903225794
200511,13.518518518518505
200512,20.320855614973254
200601,6.4981949458483825
200602,15.209125475285163
200603,16.746411483253596
200604,17.331022530329292
200605,16.91792294807368
200606,4.881889763779526
200607,1.4399999999999977
200608,19.61130742049471
200609,23.765996343692876
200610,10.606060606060623
200611,14.518760195758574
200612,7.703703703703695
200701,16.610169491525426
200702,12.04620462046205
200703,6.693989071038246
200704,13.44165435745937
200705,5.444126074498556
200706,9.459459459459481
200707,6.466876971608841
200708,3.101920236336781
200709,-9.305760709010343
200710,6.240487062404853
200711,5.98290598290599
200712,7.702888583218709
200801,-0.2906976744186096
200802,-2.79823269513993
200803,-0.6402048655569814
200804,-1.0416666666666572
200805,-0.5434782608695627
200806,1.9204389574759801
200807,9.333333333333329
200808,0.28653295128940215
200809,7.166123778501628
200810,-2.2922636103151888
200811,-16.801075268817215
200812,-17.87994891443168
200901,-28.862973760932945
200902,-17.727272727272734
200903,-19.716494845360828
200904,-21.84210526315789
200905,-16.256830601092915
200906,-7.6716016150740245
200907,-14.905149051490525
200908,-15.42857142857143
200909,5.775075987841944
200910,-5.8651026392961825
200911,14.37802907915993
200912,21.461897356143083
201001,34.8360655737705
201002,26.703499079189697
201003,37.23916532905298
201004,34.848484848484844
201005,25.12234910277327
201006,26.093294460641417
201007,31.528662420382176
201008,37.83783783783784
201009,11.781609195402297
201010,23.052959501557638
201011,15.96045197740112
201012,13.316261203585157
201101,11.854103343465042
201102,-0.1453488372092977
201103,4.444444444444457
201104,2.3720349563046312
201105,15.384615384615373
201106,4.855491329479776
201107,3.147699757869262
201108,5.2696078431372655
201109,0.7712082262210913
201110,-5.822784810126578
201111,-0.36540803897685237
201112,1.355932203389827
201201,5.570652173913061
201202,26.346433770014556
201203,-3.5834266517357207
201204,3.0487804878048763
201205,-4.858757062146893
201206,-10.253583241455345
201207,-1.5258215962441284
201208,-16.53084982537834
201209,-5.484693877551038
201210,1.0752688172043037
201211,-10.146699266503674
201212,-9.364548494983282
201301,-7.722007722007717
201302,-23.04147465437788
201303,-6.620209059233446
201304,-7.100591715976336
201305,-3.562945368171029
201306,0.24570024570023463
201307,2.86054827175208
201308,11.715481171548106
201309,-4.588394062078265
201310,15.957446808510639
201311,10.340136054421762
201312,7.011070110701098
201401,0.2789400278940093
201402,13.772455089820369
201403,8.706467661691548
201404,12.101910828025481
201405,6.034482758620683
201406,2.205882352941188
201407,2.549246813441485
201408,-9.98751560549313
201409,12.729844413012728
201410,-8.600917431192656
201411,10.480887792848321
201412,15.287356321839084
201501,12.517385257301811
201502,3.94736842105263
201503,8.924485125858126
201504,3.0681818181818272
201505,0.11614401858304291
201506,12.949640287769768
201507,7.2316384180791005
201508,16.782246879334267
201509,9.284818067754074
201510,14.80552070263488
201511,-2.4553571428571246
201512,-0.4985044865403694
201601,-4.202719406674916
201602,-6.2025316455696355
201603,-2.731092436974805
201604,-2.535832414553468
201605,5.800464037122978
201606,6.369426751592357
201607,-6.427818756585893
201608,7.838479809976249
201609,-1.3777267508610578
201610,-1.2021857923497237
201611,12.242562929061762
201612,11.122244488977955
201701,11.612903225806463
201702,19.433198380566807
201703,20.950323974082067
201704,16.62895927601808
201705,20.39473684210526
201706,17.465069860279442
201707,20.83333333333333
201708,12.114537444933916
201709,25.029103608847493
201710,-0.3318584070796504
201711,7.7471967380224385
201712,5.049594229035165
201801,21.618497109826592
201802,11.186440677966104
201803,2.232142857142861
201804,2.7158098933074797
201805,-4.007285974499084
201806,-12.404418011894663
201807,-8.760484622553577
201808,-9.43025540275049
201809,-18.901303538175057
201810,6.215316315205328
201811,-10.879848628193002
201812,-13.819742489270382
201901,-15.0190114068441
201902,-25.000000000000014
201903,-15.02183406113538
201904,-4.2492917847025495
201905,-8.064516129032256
201906,-6.692531522793402
201907,-1.8386108273748931
201908,-1.3015184381778795
201909,-0.22962112514349542
201910,-0.31347962382444905
201911,1.804670912951181
201912,11.752988047808756
202001,-6.9351230425055945
202002,16.802168021680217
202003,10.996916752312444
202004,1.7751479289940733
202005,1.341589267285869
202006,13.201663201663209
202007,6.5556711758584925
202008,-0.3296703296703356
202009,23.014959723820482
202010,-3.878406708595392
202011,3.3368091762252305
202012,8.199643493761144
202101,26.442307692307693
202102,6.960556844547568
202103,9.166666666666686
202104,17.538759689922472
202105,10.997963340122197
202106,14.508723599632688
202107,13.18359375
202108,13.891951488423373
202109,-8.325537885874652
202110,2.508178844056701
202111,12.008072653884966
202112,7.248764415156501
202201,2.281368821292773
202202,1.3015184381778795
202203,-4.749787955894831
202204,-13.437757625721346
202205,5.504587155963293
202206,-2.0048115477145103
202207,-2.7610008628127645
202208,9.874152952565353
202209,10.91836734693878
202210,18.936170212765944
202211,8.018018018018026
202212,2.9953917050691246
202301,-12.732342007434937
202302,5.353319057815838
202303,2.4042742653606552
202304,4.476190476190482
202305,-5.565217391304358
202306,-2.20949263502456
202307,-11.268855368234256
202308,-14.273127753303967
202309,-4.139834406623734
202310,-5.903398926654731
202311,-7.005838198498751
202312,-5.294556301267704
202401,7.135250266240661
202402,-0.8130081300813146
202403,-4.347826086956516
202404,0.3646308113035559
202405,-1.47329650092081
202406,-2.6778242677824267
