,종합.1,종합.2,생산,소비,정부,건설,설비,대외,수출,수입,노동,물가,심리,부동산,금융
실업률,0.0015952878865687081,0.0002948681175820589,,,,,,,,,0.060624114452660804,,,,
고용률,0.022851121624783644,3.84457003899108e-06,,,,,,,,,0.9179696209789809,,,,
취업자,0.03044460574429575,0.00039194365743100423,,,,,,,,,0.9438960125153991,,,,
수출,0.06449443421007084,0.011026801350720539,,,,,,0.045628366778601714,0.20323690208397316,,,,,,
수입,0.13408479606638601,0.005057272804100621,,,,,,0.009175042200076922,,0.05212135027187337,,,,,
수출물가지수,1.640833414695564e-07,0.04993466168717897,,,,,,0.9349182326861855,0.23448551185515754,,,0.054572306731764275,,,
수입물가지수,0.037655988887784875,0.03347509725162434,,,,,,0.6954915880127417,,0.027688250295461292,,0.08086675079443639,,,
생산자물가지수,0.16311687542268183,0.013416451628264547,0.06722638747446164,,,,,,,,,0.20342471373262105,,,
소비자물가지수,0.0392775265571631,0.01236792215915683,,0.018063884915899386,,,,,,,,0.29701876133531924,,,
농산물및석유류제외지수,0.004180505174965932,0.015038606929847598,,,,,,,,,,0.5169860471129164,,,
식료품및에너지제외지수,0.00018070394595182115,0.007090573171320225,,,,,,,,,,0.3830867769479318,,,
소매판매액지수(SA),0.015804863835671257,0.02357776480551388,,0.40387291949767246,,,,,,,,,,,
서비스업생산지수(SA),0.0451610090817256,0.042947667744366314,0.014429045775565252,0.30678294015031093,,,,,,,,,,,
소매판매액지수(불변),0.37473015384962804,0.07525422968290707,,0.30916752074148923,,,,,,,,,,,
서비스업생산지수(불변),0.31393230365328384,0.10452955611679327,0.08141356456980509,0.17242301036230911,,,,,,,,,,,
제조업생산지수(SA),0.1064460655617332,0.0989494774439933,0.14252778605002392,,,,,,,,,,,,
제조업출하지수(SA),0.10748544015437522,0.08798067875640436,0.13337517611840344,,,,,,,,,,,,
제조업재고지수(SA),0.09411186797287918,0.08111764440250491,0.00016708359405381845,,,,,,,,,,,,
제조업생산지수(불변),0.5653606508736675,0.2102128708817399,0.04556372846243684,,,,,,,,,,,,
제조업출하지수(불변),0.5347612574081806,0.20307405211347085,0.07266837742744048,,,,,,,,,,,,
제조업재고지수(불변),0.012698024107954176,0.27242137681112155,0.10779796110318951,,,,,,,,,,,,
설비투자지수(SA),0.03702799350297703,0.0030185139513556614,,,,,0.4977900509795299,,,,,,,,
건설기성액(SA),0.001395447885707779,0.021863557012249957,,,,0.022986978828123505,,,,,,,,,
설비투자지수(불변),0.34632781046724126,0.20965070707845967,,,,,0.17284228676308144,,,,,,,,
건설기성액(불변),0.08186388342833739,0.026177370663585386,,,,0.5444322657893255,,,,,,,,,
제조업업황실적BSI(SA),0.17325111818599603,0.3826944412484886,0.007173058781369757,,,,,,,,,,0.07418991023782928,,
제조업업황실적BSI(불변),0.678291588760032,0.1384583325877753,0.09905127565507743,,,,,,,,,,0.0005425062046490181,,
전산업업황실적BSI,0.16622453940946535,0.42327488557777293,0.00038363552146136737,,,,,,,,,,0.01950815643502335,,
서비스업업황실적BSI,0.11927774464942731,0.2928387867557898,3.990554185850925e-05,,,,,,,,,,0.005179757103599636,,
전산업매출실적BSI,0.2858895212818654,0.24274035902723423,0.004557163758445393,,,,,,,,,,0.1008799546974618,,
제조업수출실적BSI,0.25925051337053007,0.1764782761046556,,,,,,,0.026634901890282947,,,,0.1801906006831271,,
제조업내수판매실적BSI,0.2637804866509923,0.2829704123192668,0.02804837104837854,,,,,,,,,,0.20279189336933778,,
